split,condition,band,C3,C4,c3_minus_c4_db,expected_direction
all,left,beta,-1.9528739946708082,-3.0113031711801885,1.0584291765093803,左手预期 C4 ERD 更强，C3-C4 偏正
all,left,mu,-1.4288043656945228,-3.0084976748377086,1.5796933091431857,左手预期 C4 ERD 更强，C3-C4 偏正
all,right,beta,-2.9646594404429196,-1.9193397234939038,-1.0453197169490158,右手预期 C3 ERD 更强，C3-C4 偏负
all,right,mu,-2.858541018459946,-1.2025956543628127,-1.655945364097133,右手预期 C3 ERD 更强，C3-C4 偏负
test,left,beta,-1.468577275276184,-2.486300816386938,1.017723541110754,左手预期 C4 ERD 更强，C3-C4 偏正
test,left,mu,-0.8583047616481781,-3.0659621399641037,2.2076573783159255,左手预期 C4 ERD 更强，C3-C4 偏正
test,right,beta,-2.6648140209913254,-1.5772771358117461,-1.0875368851795792,右手预期 C3 ERD 更强，C3-C4 偏负
test,right,mu,-3.181495703421533,-1.0443357644416391,-2.137159938979894,右手预期 C3 ERD 更强，C3-C4 偏负
train,left,beta,-2.4371707140654326,-3.536305525973439,1.0991348119080064,左手预期 C4 ERD 更强，C3-C4 偏正
train,left,mu,-1.9993039697408677,-2.9510332097113134,0.9517292399704458,左手预期 C4 ERD 更强，C3-C4 偏正
train,right,beta,-3.264504859894514,-2.2614023111760617,-1.0031025487184522,右手预期 C3 ERD 更强，C3-C4 偏负
train,right,mu,-2.5355863334983586,-1.360855544283986,-1.1747307892143726,右手预期 C3 ERD 更强，C3-C4 偏负
